İlçe,Nüfus
Karaman(Merkez)-1439,206240
Karaman(Sarıveliler)-1983,11251
Kars(Akyaka)-1756,9977
Kars(Arpaçay)-1149,15075
Kars(Digor)-1279,19872
Kars(Kağızman)-1424,44178
Kars(Merkez)-1447,117235
Kars(Sarıkamış)-1601,37744
Kars(Selim)-1614,21488
Kars(Susuz)-1645,9260
Kastamonu(Abana)-1101,4218
Kastamonu(Ağlı)-1867,2980
Kastamonu(Araç)-1140,18122
Kastamonu(Azdavay)-1162,7233
Kastamonu(Bozkurt)-1208,9064
Kastamonu(Çatalzeytin)-1238,7386
Kastamonu(Cide)-1221,22179
Kastamonu(Daday)-1264,8002
Kastamonu(Devrekani)-1277,12037
Kastamonu(Doğanyurt)-1915,5342
Kastamonu(Hanönü)-1940,4197
Kastamonu(İhsangazi)-1805,5204
Kastamonu(İnebolu)-1410,20571
Kastamonu(Küre)-1499,5303
Kastamonu(Merkez)-1450,155286
Kastamonu(Pınarbaşı)-1836,5787
Kastamonu(Şenpazar)-1845,4268
Kastamonu(Seydiler)-1984,4366
Kastamonu(Taşköprü)-1666,36961
Kastamonu(Tosya)-1685,39609
Kayseri(Akkışla)-1752,5563
Kayseri(Bünyan)-1218,29704
Kayseri(Develi)-1275,66840
Kayseri(Felahiye)-1330,5419
Kayseri(Hacılar)-1936,12465
Kayseri(İncesu)-1409,29120
Kayseri(Kocasinan)-1863,409005
Kayseri(Melikgazi)-1864,594344
Kayseri(Özvatan)-1978,3819
Kayseri(Pınarbaşı)-1576,21240
Kayseri(Sarıoğlan)-1603,13396
Kayseri(Sarız)-1605,9282
Kayseri(Talas)-1846,169214
Kayseri(Tomarza)-1680,21100
Kayseri(Yahyalı)-1715,35481
Kayseri(Yeşilhisar)-1727,15531
Kilis(Elbeyli)-2023,5594
Kilis(Merkez)-1476,125079
Kilis(Musabeyli)-2024,12390
Kilis(Polateli)-2025,4856
Kırıkkale(Bahşılı)-1880,7194
Kırıkkale(Balışeyh)-1882,5857
Kırıkkale(Çelebi)-1901,2304
Kırıkkale(Delice)-1268,9386
Kırıkkale(Karakeçili)-1954,2949
Kırıkkale(Keskin)-1463,15637
Kırıkkale(Merkez)-1469,193954
Kırıkkale(Sulakyurt)-1638,6106
Kırıkkale(Yahşihan)-1992,33659
Kırklareli(Babaeski)-1163,46357
Kırklareli(Demirköy)-1270,8961
Kırklareli(Kofçaz)-1480,2125
Kırklareli(Lüleburgaz)-1505,153903
Kırklareli(Merkez)-1471,108550
Kırklareli(Pehlivanköy)-1572,3380
Kırklareli(Pınarhisar)-1577,17402
Kırklareli(Vize)-1714,28669
Kırşehir(Akçakent)-1869,3519
Kırşehir(Akpınar)-1754,6893
Kırşehir(Boztepe)-1890,5019
Kırşehir(Çiçekdağı)-1254,13529
Kırşehir(Kaman)-1429,34129
Kırşehir(Merkez)-1472,163219
Kırşehir(Mucur)-1529,18211
Kocaeli(Başiskele)-2058,116650
Kocaeli(Çayırova)-2059,150792
Kocaeli(Darıca)-2060,225602
Kocaeli(Derince)-2030,146374
Kocaeli(Dilovası)-2061,53416
Kocaeli(Gebze)-1338,407019
Kocaeli(Gölcük)-1355,175940
Kocaeli(İzmit)-2062,376056
Kocaeli(Kandıra)-1430,52874
Kocaeli(Karamürsel)-1440,59676
Kocaeli(Kartepe)-2063,136625
Kocaeli(Körfez)-1821,178048
Konya(Ahırlı)-1868,4574
Konya(Akören)-1753,5836
Konya(Akşehir)-1122,93965
Konya(Altınekin)-1760,14289
Konya(Beyşehir)-1188,77690
Konya(Bozkır)-1207,25307
Konya(Çeltik)-1902,9429
Konya(Cihanbeyli)-1222,50677
Konya(Çumra)-1262,67690
Konya(Derbent)-1907,4052
Konya(Derebucak)-1789,5690
Konya(Doğanhisar)-1285,14812
Konya(Emirgazi)-1920,7724
Konya(Ereğli)-1312,150978
Konya(Güneysınır)-1933,9266
Konya(Hadim)-1375,10999
Konya(Halkapınar)-1937,3909
Konya(Hüyük)-1804,15144
Konya(Ilgın)-1400,53489
Konya(Kadınhanı)-1422,31206
Konya(Karapınar)-1441,50323
Konya(Karatay)-1814,370927
Konya(Kulu)-1491,51612
Konya(Meram)-1827,348325
Konya(Sarayönü)-1598,27771
Konya(Selçuklu)-1839,690667
Konya(Seydişehir)-1617,65465
Konya(Taşkent)-1848,5768
Konya(Tuzlukçu)-1990,6062
Konya(Yalıhüyük)-1994,1710
Konya(Yunak)-1735,20991
Kütahya(Altıntaş)-1132,15018
Kütahya(Aslanapa)-1764,8164
Kütahya(Çavdarhisar)-1898,5771
Kütahya(Domaniç)-1288,14174
Kütahya(Dumlupınar)-1790,2854
Kütahya(Emet)-1304,18843
Kütahya(Gediz)-1339,50151
Kütahya(Hisarcık)-1802,11115
Kütahya(Merkez)-1500,282243
Kütahya(Pazarlar)-1979,4840
Kütahya(Şaphane)-1843,5695
Kütahya(Simav)-1625,61265
Kütahya(Tavşanlı)-1671,100568
Malatya(Akçadağ)-1114,27872
Malatya(Arapgir)-1143,9964
Malatya(Arguvan)-1148,6869
Malatya(Battalgazi)-1772,307478
Malatya(Darende)-1265,24588
Malatya(Doğanşehir)-1286,37697
Malatya(Doğanyol)-1914,3705
Malatya(Hekimhan)-1390,15706
Malatya(Kale)-1953,5571
Malatya(Kuluncak)-1969,7000
Malatya(Pütürge)-1582,12492
Malatya(Yazıhan)-1995,11984
Malatya(Yeşilyurt)-1729,341654
Manisa(Ahmetli)-1751,16963
Manisa(Akhisar)-1118,177419
Manisa(Alaşehir)-1127,104717
Manisa(Demirci)-1269,36620
Manisa(Gölmarmara)-1793,15193
Manisa(Gördes)-1362,26458
Manisa(Kırkağaç)-1470,37645
Manisa(Köprübaşı)-1965,12730
Manisa(Kula)-1489,43227
Manisa(Salihli)-1590,165113
Manisa(Sarıgöl)-1600,35537
Manisa(Saruhanlı)-1606,56523
Manisa(Şehzadeler)-2086,167227
Manisa(Selendi)-1613,19203
Manisa(Soma)-1634,111789
Manisa(Turgutlu)-1689,175401
Manisa(Yunusemre)-2087,266514
Mardin(Artuklu)-2088,189769
Mardin(Dargeçit)-1787,27147
Mardin(Derik)-1273,62028
Mardin(Kızıltepe)-1474,267151
Mardin(Mazıdağı)-1519,36442
Mardin(Midyat)-1526,120069
Mardin(Nusaybin)-1547,115586
Mardin(Ömerli)-1564,13740
Mardin(Savur)-1609,24821
Mardin(Yeşilli)-2002,13621
Mersin(Akdeniz)-2064,255946
Mersin(Anamur)-1135,66846
Mersin(Aydıncık)-1766,11468
Mersin(Bozyazı)-1779,26812
Mersin(Çamlıyayla)-1892,8164
Mersin(Erdemli)-1311,151928
Mersin(Gülnar)-1366,27889
Mersin(Mezitli)-2065,222436
Mersin(Mut)-1536,62874
Mersin(Silifke)-1621,132665
Mersin(Tarsus)-1665,350732
Mersin(Toroslar)-2066,319711
Mersin(Yenişehir)-2067,278961
Muğla(Bodrum)-1197,192964
Muğla(Dalaman)-1742,47482
Muğla(Datça)-1266,25029
Muğla(Fethiye)-1331,177702
Muğla(Kavaklıdere)-1958,10909
Muğla(Köyceğiz)-1488,39242
Muğla(Marmaris)-1517,97818
Muğla(Menteşe)-2089,120627
Muğla(Milas)-1528,147416
Muğla(Ortaca)-1831,54478
Muğla(Seydikemer)-2090,62622
Muğla(Ula)-1695,26613
Muğla(Yatağan)-1719,45283
Muş(Bulanık)-1213,74591
